song,artist,decade,total_lines,unique_lines,total_words,unique_words,top_common_words,top_uncommon_words,neg,neu,pos,compound
the pretender,foo fighters,2000,60,30,404,163,"i'm,what,if,i,say,you,the,not,your,that","i'm,say,another,like,others,one,plays,i'll,never,surrender",0.061,0.845,0.094,0.8865
stacys mom,fountains of wayne,2000,31,24,302,233,"i,mom,stacy's,it,the,you,on,me,i'm,for","mom,stacy's,i'm,got,goin',stacy,know,can't,see,love",0.053,0.825,0.122,0.9769
take me out,franz ferdinand,2000,39,22,226,121,"i,you,know,here,say,won't,be,leaving,me,don't","know,say,leaving,die,take,i'm,move,could,crosshair,shot",0.177,0.8,0.024,-0.9877
hemorrhage in my hands,fuel,2000,29,20,207,141,"in,my,hands,and,leave,love,bleeding,don't,away,you","hands,leave,love,bleeding,away,faall,dead,left,remember,said",0.12,0.733,0.147,0.9664
mad world,gary jules,2000,30,22,208,155,"i,find,it,to,me,and,no,the,world,very","find,world,mad,kinda,hard,tell,faces,worn,going,nowhere",0.231,0.633,0.136,-0.9596
feel good inc,gorillaz,2000,24,7,123,36,"windmill,forever,in,is,for,the,land,turn,hand,it","windmill,forever,land,turn,hand,love,take,stride,sticking,falling",0.029,0.64,0.331,0.9947
21 guns,green day,2000,51,28,247,169,"the,your,you,and,one,21,guns,arms,up,when","one,21,guns,arms,lay,give,fight,throw,sky,ruins",0.162,0.783,0.055,-0.9833
american idiot,green day,2000,29,16,174,98,"the,to,of,a,nation,meant,be,new,not,don't","nation,meant,new,welcome,kind,tension,across,alien,everything,okay",0.18,0.699,0.121,-0.9022
boulevard of broken dreams,green day,2000,34,22,260,171,"i,walk,the,alone,ahah,only,me,and,my,one","walk,alone,ahah,one,i'm,shadow's,walks,beside,shallow,heart's",0.231,0.679,0.09,-0.9892
holiday,green day,2000,33,27,236,176,"the,of,a,to,and,is,i,this,our,lives","lives,hey,beg,dream,differ,hollow,lies,dawning,rest,hear",0.194,0.728,0.078,-0.9854
jesus of suburbia,green day,2000,101,86,563,491,"the,of,and,i,to,in,care,don't,a,this","care,away,lost,one,land,makebelieve,city,run,youre,leaving",0.234,0.639,0.128,-0.997
last night on earth,green day,2000,26,16,164,98,"you,to,i,my,all,i'm,love,sending,the,for","i'm,love,sending,beating,heart,belongs,walked,miles,'til,found",0.126,0.68,0.194,0.9442
wake me up when september ends,green day,2000,34,14,181,73,"when,wake,me,up,september,ends,the,my,has,come","wake,september,ends,come,never,summer,passed,innocent,last,like",0.05,0.844,0.106,0.8817
hosanna,hillsong united,2000,38,21,206,127,",ho,the,sanna,san,na,in,hosanna,i,see",",ho,sanna,san,na,hosanna,see,highest,high,est",0.027,0.822,0.151,0.9799
lead me to the cross,hillsong united,2000,25,22,99,86,"me,to,i,your,lead,my,heart,the,where,as","lead,heart,cross,savior,come,quiet,soul,remember,redemptions,hill",0.112,0.824,0.064,-0.6124
the reason,hoobastank,2000,35,19,231,133,"i,to,you,reason,a,and,the,is,that,do","reason,i've,found,i'm,things,know,change,used,start,new",0.087,0.874,0.038,-0.9108
you and i,ingrid michaelson,2000,24,18,197,144,"and,you,i,let's,get,rich,our,the,everybody,a","let's,get,rich,everybody,might,like,maybe,oh,buy,parents",0.054,0.655,0.29,0.9964
aadat,jal,2000,13,13,105,105,"hai,say,hain,mein,yeh,teri,ab,jaye,na,janay","hai,say,hain,mein,yeh,teri,ab,jaye,na,janay",0.033,0.967,0.0,-0.5574
1973,james blunt,2000,46,22,234,105,"and,we,in,you,i,here,go,again,the,though","go,though,time,goes,club,1973,simona,would,call,saturday",0.0,0.937,0.063,0.9274
im yours,jason mraz,2000,56,50,410,376,"oh,and,i,to,you,i'm,do,no,the,yours","oh,i'm,doo,mmm,ba,loved,open,love,well,done",0.03,0.681,0.289,0.9992
lucky,jason mraz,2000,38,29,260,200,"lucky,to,the,i,in,have,you,my,i'm,love","lucky,i'm,love,coming,home,stayed,hear,across,best,friend",0.004,0.657,0.338,0.9987
are you gonna be my girl,jet,2000,20,11,134,68,"you,i,with,yeah,get,could,home,me,but,were","yeah,get,could,home,another,man,know,ain't,got,much",0.0,0.783,0.217,0.9827
the middle,jimmy eat world,2000,22,13,241,129,"everything,just,the,be,will,alright,in,you,you're,it","everything,alright,takes,time,little,girl,middle,ride,fine,hey",0.014,0.807,0.179,0.9885
daughters,john mayer,2000,35,26,234,169,"to,daughters,be,good,the,your,mothers,so,you,of","daughters,good,mothers,like,boys,fathers,love,girls,become,lovers",0.018,0.747,0.235,0.9952
free fallin,john mayer,2000,56,22,200,128,"falling,free,i'm,and,a,the,now,her,i,good","falling,free,i'm,good,loves,bad,wanna,girl,boy,mama",0.219,0.394,0.387,0.997
gravity,john mayer,2000,23,14,165,105,"me,is,the,keep,where,gravity,light,to,oh,and","keep,gravity,light,oh,twice,come,working,wants,bring,away",0.077,0.872,0.051,-0.5472
stop this train,john mayer,2000,32,29,266,234,"i,this,and,to,stop,train,can't,the,in,don't","stop,train,can't,know,want,go,,get,home,take",0.192,0.691,0.117,-0.9774
lovebug,jonas brothers,2000,26,19,213,144,"i,the,i'm,that,again,over,never,thought,i'd,this","i'm,never,thought,i'd,love,bug,breathless,hopeless,get,4",0.089,0.709,0.201,0.99
everybodys changing,keane,2000,27,17,180,106,"i,to,and,the,don't,everybody's,changing,try,stay,feel","everybody's,changing,try,stay,feel,little,time,understand,i'm,trying",0.063,0.907,0.03,-0.6956
somewhere only we know,keane,2000,35,19,264,152,"we,i,the,somewhere,and,me,so,to,only,know","somewhere,know,i'm,getting,need,go,oh,simple,thing,gone",0.049,0.914,0.037,-0.2732
since u been gone,kelly clarkson,2000,41,29,252,183,"you,i,yeah,since,been,gone,get,the,it,time","yeah,since,gone,get,time,thanks,first,want,hear,say",0.022,0.721,0.257,0.996
all summer long,kid rock,2000,36,20,333,191,"the,and,we,were,long,things,to,out,singin',sweet","long,things,singin',sweet,home,alabama,summer,tryin',different,smokin'",0.005,0.758,0.237,0.9985
picture,kid rock,2000,41,33,315,256,"i,you,to,been,my,your,picture,can't,at,away","picture,can't,away,put,today,look,i'm,lyin',next,called",0.052,0.853,0.096,0.9464
sex on fire,kings of leon,2000,41,29,131,96,"the,you,your,sex,is,on,fire,you're,consumed,with","sex,fire,consumed,what's,transpire,greatest,they're,watching,like,talking",0.084,0.767,0.149,0.9169
use somebody,kings of leon,2000,28,12,180,90,"woah,ah,you,i,ohh,ohhh,someone,like,know,","woah,ah,ohh,ohhh,someone,like,know,,could,use",0.033,0.815,0.152,0.9675
you and me,lifehouse,2000,55,31,255,134,"and,i,you,of,to,me,all,the,people,nothing","people,nothing,can't,keep,know,cause',eyes,day,month,clock",0.01,0.93,0.06,0.9109
behind blue eyes,limp bizkit,2000,52,30,215,119,"to,be,my,no,one,as,knows,like,what,it's","one,knows,like,say,man,discover,limp,behind,blue,eyes",0.259,0.553,0.188,-0.953
crawling,linkin park,2000,30,18,145,91,"my,is,i,in,will,fear,how,confusing,0,crawling","fear,confusing,0,crawling,skin,wounds,heal,fall,real,can't",0.16,0.771,0.069,-0.901
in the end,linkin park,2000,42,31,377,250,"it,i,the,to,in,even,all,you,so,doesn't","even,matter,end,know,hard,tried,far,thing,time,one",0.104,0.844,0.052,-0.8469
leave out all the rest,linkin park,2000,48,29,272,149,"me,the,i,leave,all,you,when,to,be,and","leave,rest,i've,done,else,time,comes,forget,wrong,help",0.231,0.62,0.15,-0.9673
numb,linkin park,2000,31,20,256,159,"you,i,so,be,me,to,i've,become,more,like","i've,become,like,tired,want,can't,numb,feel,i'm,know",0.195,0.709,0.096,-0.9825
what ive done,linkin park,2000,38,26,141,92,"ive,what,done,of,and,myself,let,to,this,come","ive,done,let,come,away,i'll,face,cross,become,erase",0.114,0.768,0.118,0.1918
she will be loved,maroon 5,2000,45,28,294,189,"she,and,i,the,will,be,loved,to,you,on","loved,always,want,know,door,dont,mind,spending,everyday,corner",0.068,0.688,0.244,0.997
sunday morning,maroon 5,2000,35,18,242,125,"i,and,to,that,me,in,would,all,you,it","would,back,sunday,morning,get,someday,lead,may,need,darkness",0.106,0.828,0.066,-0.8394
this love,maroon 5,2000,39,23,286,150,"i,goodbye,me,her,in,on,and,she,heart,love","goodbye,heart,love,cause,taken,toll,said,many,times,breaking",0.09,0.707,0.202,0.9934
unwell,matchbox twenty,2000,30,23,321,217,"i,i'm,a,me,and,know,but,be,to,just","i'm,know,little,crazy,right,used,unwell,soon,think,can't",0.059,0.834,0.108,0.8967
all about you,mcfly,2000,27,16,203,120,"you,all,about,it's,me,i,and,baby,so,your","baby,asked,told,smile,you',make,life,worthwhile,would,answer",0.028,0.816,0.156,0.9789
kids,mgmt,2000,40,19,220,101,"a,you,to,of,control,yourself,take,only,what,need","control,take,need,family,trees,wanting,haunted,like,decisions,child",0.161,0.762,0.077,-0.9746
above all,michael w smith,2000,34,13,222,88,"all,above,the,and,you,of,a,to,world,like","world,like,rose,trampled,ground,took,fall,thought,crucified,laid",0.124,0.735,0.142,0.3818
awesome god,michael w smith,2000,22,12,163,104,"god,is,our,an,awesome,he,the,and,that,when","god,awesome,reigns,heaven,wisdom,power,love,rolls,sleeves,ain't",0.007,0.495,0.498,0.9987
draw me close,michael w smith,2000,13,12,75,71,"me,you,to,i,all,your,you're,are,else,the","else,help,want,draw,close,never,let,go,lay,hear",0.026,0.743,0.23,0.9325
grace kelly,mika,2000,62,33,428,223,"i,be,you,could,like,why,don't,me,gotta,to","could,like,gotta,tried,mm,brown,blue,violet,sky,hurtful",0.082,0.724,0.193,0.9911
float on,modest mouse,2000,31,22,242,189,"on,all,we'll,float,alright,okay,and,already,well,it","we'll,float,alright,okay,already,well,worry,news,even,car",0.049,0.689,0.262,0.9916
burning pile,mother mother,2000,35,24,224,147,"my,oh,all,i,and,troubles,bah,to,a,on","oh,troubles,bah,burning,pile,lit,start,smile,catch,fire",0.154,0.804,0.043,-0.9753
ghosting,mother mother,2000,53,29,302,178,"you,don't,need,and,i,your,treats,tricks,in,ghosting","need,treats,tricks,ghosting,ghost,i've,i'm,decided,leave,house",0.126,0.781,0.094,-0.8225
hysteria,muse,2000,26,21,116,92,"me,and,i'm,i,now,want,out,it,your,to","i'm,want,heart,breakin,endlessly,'cause,give,soul,last,chance",0.056,0.771,0.173,0.8074
starlight,muse,2000,37,22,202,119,"you,away,my,i,to,and,the,far,hold,in","away,far,hold,arms,wanted,never,fade,hopes,expectations,black",0.053,0.816,0.131,0.9217
time is running out,muse,2000,52,28,259,129,"yeah,you,it,i,out,won't,let,the,of,bury","yeah,let,bury,time,running,can't,ooooohh,i'm,smother,murder",0.056,0.558,0.386,0.9985
cancer,my chemical romance,2000,23,21,136,118,"my,you,'cause,the,of,and,all,just,i,hardest","'cause,hardest,part,leavin',turn,away,i'm,know,could,get",0.053,0.867,0.08,0.7035
helena,my chemical romance,2000,24,16,224,145,"and,you,long,so,goodnight,i,the,are,if,to","long,goodnight,whats,worst,thing,better,stay,like,every,say",0.14,0.754,0.106,-0.8588
i dont love you,my chemical romance,2000,37,22,185,139,"you,i,don't,and,when,to,get,love,like,yesterday","get,love,like,yesterday,go,another,still,would,say,loved",0.195,0.689,0.116,-0.9252
im not okay i promise,my chemical romance,2000,27,16,194,161,"i'm,okay,you,not,the,a,all,to,i,your","i'm,okay,time,dirty,looks,photographs,boyfriend,took,wear,take",0.209,0.706,0.085,-0.9362
teenagers,my chemical romance,2000,40,23,250,145,"the,they,you,me,your,as,of,a,out,so","teenagers,scare,living,shit,could,care,less,long,someone'll,bleed",0.303,0.639,0.058,-0.9973
welcome to the black parade,my chemical romance,2000,69,47,430,314,"the,and,you,on,carry,me,a,all,it,never","carry,never,we'll,i'm,though,take,broken,gone,want,heart",0.184,0.76,0.056,-0.9965
o children,nick cave the bad seeds,2000,63,46,378,300,"the,train,to,your,children,you,up,we're,little,that","train,children,we're,little,lift,voice,rejoice,they're,hey,fun",0.051,0.806,0.143,0.9901
how you remind me,nickelback,2000,53,25,376,185,"yeah,you,a,i,of,this,no,me,is,how","yeah,remind,i'm,really,i've,fun,yet,man,like,say",0.187,0.569,0.245,0.9664
rockstar,nickelback,2000,61,36,562,343,"the,and,a,in,i,with,hey,gonna,be,we'll","hey,gonna,we'll,wanna,every,get,cause,come,rockstar,big",0.057,0.818,0.125,0.9888
little by little,oasis,2000,46,23,281,148,"little,the,you,i,to,by,all,we,of,just","little,life,really,give,know,'cause,gave,everything,ever,dreamed",0.091,0.777,0.132,0.959
sad song,oasis,2000,38,32,315,260,"the,a,,it,we,throwing,ll,away,you,we're",",throwing,away,we're,end,day,put,know,sad,song",0.095,0.853,0.052,-0.9198
songbird,oasis,2000,14,10,89,71,"to,the,not,love,anyone,she,she's,me,her,never","love,anyone,never,flew,away,give,gives,felt,talking,songbird",0.017,0.781,0.202,0.9693
stop crying your heart out,oasis,2000,26,12,186,81,"your,and,on,stop,crying,heart,out,be,you'll,you","stop,crying,heart,stars,fading,away,try,worry,see,day",0.168,0.736,0.096,-0.9419
apologize,onerepublic,2000,25,21,194,158,"it's,too,late,you,i,to,apologize,me,and,a","late,apologize,said,i'm,yeah,say,take,holding,rope,got",0.086,0.763,0.151,0.9122
secrets,onerepublic,2000,42,28,272,176,"all,my,secrets,away,don't,i,the,i'm,gonna,give","secrets,away,i'm,gonna,give,line,need,something,another,tell",0.159,0.738,0.102,-0.9623
i write sins not tragedies,panic at the disco,2000,20,11,290,147,"a,of,with,i,to,in,well,no,it's,much","well,much,better,face,kinds,things,sense,chime,people,ever",0.18,0.615,0.204,0.8186
last request,paolo nutini,2000,37,17,243,116,"me,down,that,i,last,lay,beside,just,you,and","last,lay,beside,let's,baby,ohhh,closer,grant,request,let",0.053,0.787,0.16,0.9716
decode,paramore,2000,43,31,201,148,"i,you,how,when,did,we,get,here,know,my","get,know,think,see,youre,time,love,whats,used,well",0.12,0.71,0.17,0.912
misery business,paramore,2000,45,31,371,263,"i,it,you,to,him,but,never,now,whoa,brag","never,whoa,brag,got,well,want,good,i'm,like,meant",0.058,0.687,0.254,0.9974
the only exception,paramore,2000,33,19,257,187,"the,you,are,only,exception,and,i,to,my,of","exception,never,i'm,let,love,know,got,i've,way,believing",0.107,0.836,0.057,-0.9156
your song,parokya ni edgar,2000,24,19,149,114,"i,one,and,only,you,to,then,that,out,know","one,know,take,step,away,find,comin',back,ooh,took",0.042,0.912,0.046,-0.1017
just breathe,pearl jam,2000,28,23,205,172,"i,you,me,uhhuh,that,oh,everything,did,say,as","uhhuh,oh,everything,say,i'm,one,see,gave,nothing,would",0.074,0.778,0.148,0.9299
hey there delilah,plain white ts,2000,36,30,370,295,"you,to,do,me,its,what,oh,there,delilah,and","oh,delilah,hey,im,know,we'll,good,would,like,thousand",0.046,0.801,0.153,0.9943
how to disappear completely,radiohead,2000,16,14,82,70,"not,i'm,here,i,this,isn't,happening,and,the,gone","i'm,happening,gone,ahhhhhhh,that's,go,please,walk,walls,float",0.0,0.943,0.057,0.5423
nude,radiohead,2000,13,12,63,59,"don't,you,get,any,big,ideas,they're,not,gonna,happen","get,big,ideas,they're,gonna,happen,gone,paint,white,fill",0.179,0.821,0.0,-0.9331
by the way,red hot chili peppers,2000,55,33,354,170,"the,to,i,you,a,by,way,never,ahh,tried","way,never,ahh,tried,say,ooh,'guess,meant,line,i'd",0.034,0.923,0.044,0.6579
cant stop,red hot chili peppers,2000,76,51,503,355,"the,to,you,i,of,for,can't,stop,in,be","can't,stop,love,wave,come,time,wonder,world,part,ever",0.028,0.703,0.269,0.9993
dani california,red hot chili peppers,2000,44,32,291,237,"a,the,in,your,california,was,yeah,she's,to,for","california,yeah,rest,peace,simultaneous,release,show,teeth,priestess,i'm",0.096,0.709,0.194,0.9836
snow hey oh,red hot chili peppers,2000,60,33,500,289,"i,to,the,oh,hey,my,and,it,go,where","oh,hey,go,yeah,come,say,,cover,another,perfect",0.049,0.767,0.184,0.9977
the zephyr song,red hot chili peppers,2000,26,19,267,191,"on,a,whoa,yeah,to,my,it,fly,i,you","whoa,yeah,fly,,away,zephyr,find,well,place,together",0.037,0.712,0.251,0.9965
hero of war,rise against,2000,69,59,335,283,"i,and,the,that,flag,a,you,but,we,to","flag,said,i'll,carry,hero,war,home,damn,proud,love",0.159,0.626,0.214,0.9771
feel,robbie williams,2000,43,28,238,156,"i,my,feel,wanna,understand,to,love,in,not,sure","feel,wanna,understand,love,sure,real,life,running,living,home",0.138,0.676,0.186,0.9634
fall for you,secondhand serenade,2000,43,26,275,170,"i,to,you,that,will,the,because,me,is,impossible","impossible,find,dont,tonight,fall,night,make,change,mind,wont",0.034,0.822,0.144,0.9873
broken,seether,2000,21,20,169,160,"i,and,i'm,you,when,your,don't,gone,away,wanna","i'm,gone,away,wanna,hold,high,steal,pain,feel,right",0.218,0.697,0.085,-0.9742
welcome to my life,simple plan,2000,50,33,415,262,"to,you,be,like,no,what,the,feel,don't,when","like,feel,know,life,ever,breaking,left,around,welcome,one",0.099,0.696,0.205,0.9918
chasing cars,snow patrol,2000,22,14,204,130,"i,here,just,if,lay,me,forget,all,would,you","lay,forget,would,lie,world,know,need,we're,told,get",0.082,0.851,0.067,-0.0147
run,snow patrol,2000,38,26,234,166,"you,i,to,up,if,for,have,light,voice,i'll","light,voice,i'll,right,even,dear,louder,time,we'll,choice",0.026,0.882,0.092,0.9429
its been awhile,staind,2000,29,24,259,226,"i,its,been,awhile,since,as,up,could,my,and","awhile,since,could,fucked,remember,every,thing,can't,may,seem",0.045,0.816,0.138,0.9803
outside,staind,2000,24,16,218,146,"i,you,the,see,all,and,i'm,can,through,you're","see,i'm,ugly,inside,like,outside,looking,true,colors,'cause",0.181,0.704,0.116,-0.9618
the galway girl,steve earle,2000,21,18,183,159,"a,i,and,her,to,on,day,girl,you,was","day,girl,iayiay,ask,hair,black,eyes,blue,galway,took",0.066,0.843,0.091,0.6314
through glass,stone sour,2000,64,32,421,192,"the,you,like,feels,forever,that,know,all,and,yeah","like,feels,forever,know,yeah,much,looking,starsthe,starsthat,i'm",0.037,0.787,0.176,0.9961
casimir pulaski day,sufjan stevens,2000,43,42,324,316,"the,and,you,i,in,when,your,he,on,morning","morning,da,glory,window,night,takes,found,father,shade,could",0.064,0.851,0.085,0.9058
fairytale gone bad,sunrise avenue,2000,43,24,322,189,"we,of,out,the,my,to,can't,and,bad,tell","can't,bad,tell,need,tears,leave,fairytale,gone,nothing,away",0.216,0.679,0.104,-0.9926
lonely day,system of a down,2000,18,10,129,73,"day,a,the,most,loneliest,of,my,life,and,it's","day,loneliest,life,lonely,mine,go,wanna,die,banned,can't",0.311,0.62,0.069,-0.99
hidden in the sand,tally hall,2000,13,12,67,66,"you,i,in,love,it,and,a,told,me,with","love,told,oooooooooooooh,playing,sand,found,little,band,fell,gone",0.0,0.861,0.139,0.802
breathe,taylor swift,2000,36,23,311,203,"i,you,to,mm,never,it's,but,the,know,without","mm,never,know,without,easy,breathe,sorry,like,see,people",0.098,0.645,0.257,0.9957
fearless,taylor swift,2000,41,30,314,210,"you,and,in,i,know,me,my,fearless,the,don't","know,fearless,dance,first,yeah,gets,better,take,hand,drag",0.033,0.661,0.306,0.9989
fifteen,taylor swift,2000,53,43,389,344,"and,you,you're,the,la,your,to,when,fifteen,a","la,fifteen,gonna,know,take,first,deep,breath,'cause,somebody",0.008,0.879,0.113,0.9873
forever and always,taylor swift,2000,47,35,404,283,"and,you,i,it,when,rains,to,you're,said,forever","rains,said,forever,always,feel,everything,'cause,baby,nothing,oh",0.09,0.882,0.028,-0.9754
love story,taylor swift,2000,44,38,374,323,"i,you,and,the,to,be,a,were,me,romeo","romeo,said,love,say,oh,see,alone,i'll,waiting,story",0.06,0.779,0.161,0.9929
the way i loved you,taylor swift,2000,48,31,331,202,"and,i,you,the,he,that's,way,loved,it's,i'm","that's,way,loved,i'm,feel,never,knew,could,much,says",0.135,0.625,0.241,0.9955
white horse,taylor swift,2000,45,38,305,250,"and,a,you,i,this,to,me,now,i'm,your","i'm,ain't,late,white,horse,princess,fairytale,small,town,catch",0.048,0.883,0.069,0.8449
you belong with me,taylor swift,2000,59,48,358,293,"you,the,with,and,belong,i,me,your,that,i'm","belong,i'm,know,could,like,time,see,whole,one,along",0.032,0.864,0.104,0.9809
fuck her gently,tenacious d,2000,25,25,163,163,"you,i'm,gonna,and,then,to,sometimes,fuck,fuckin',got","i'm,gonna,sometimes,fuck,fuckin',got,say,i'll,that's,",0.089,0.782,0.129,0.7469
kickapoo,tenacious d,2000,21,21,146,146,"a,the,and,in,i,he,to,party,zone,fuckin'","party,zone,fuckin',gotta,long,time,fuck,ass,ago,town",0.165,0.707,0.128,-0.8074
wherever you will go,the calling,2000,25,20,245,186,"go,you,i'll,will,i,wherever,if,to,could,my","go,i'll,wherever,could,fall,way,love,make,would,high",0.037,0.852,0.111,0.969
whistle for the choir,the fratellis,2000,34,28,326,271,"you,and,a,i,it's,you're,the,me,to,be","know,oh,girl,like,lonely,big,say,may,irresistible,fm7",0.185,0.668,0.147,-0.9666
how to save a life,the fray,2000,52,28,381,199,"i,you,to,a,and,the,how,save,life,he","save,life,wrong,along,go,lost,friend,somewhere,bitterness,would",0.163,0.659,0.178,0.8539
look after you,the fray,2000,49,23,213,136,"oh,my,be,baby,you,the,to,i,i'll,look","oh,baby,i'll,look,one,i'm,take,love,always,assuredly",0.034,0.849,0.117,0.9649
over my head cable car,the fray,2000,42,30,289,217,"in,my,on,over,head,your,she's,mind,i,the","head,mind,i'm,everyone,knows,never,eight,seconds,left,overtime",0.056,0.878,0.066,0.4247
you found me,the fray,2000,35,26,282,201,"you,me,found,and,where,the,were,to,i,surrounded","found,surrounded,never,lost,insecure,lying,floor,whyd,wait,years",0.206,0.773,0.02,-0.9955
all these things that ive done,the killers,2000,39,25,289,182,"you,yeah,on,i,me,know,the,to,don't,i'm","yeah,know,i'm,help,hold,gotta,gonna,bring,got,soul",0.046,0.795,0.159,0.9744
human,the killers,2000,28,18,256,177,"are,we,my,the,human,or,dancer,to,and,i","human,dancer,sign,vital,hands,cold,i'm,knees,looking,answer",0.045,0.749,0.206,0.9941
mr brightside,the killers,2000,48,26,206,115,"and,now,i,my,just,me,i'm,out,it,a","i'm,calling,sick,never,coming,cage,i've,fine,started,kiss",0.131,0.748,0.121,-0.12
read my mind,the killers,2000,44,35,290,238,"you,mind,the,don't,i,my,read,a,on,can","mind,read,shine,put,back,say,wanna,i'm,never,got",0.087,0.827,0.086,0.1761
somebody told me,the killers,2000,36,20,215,129,"a,had,back,i,it,you,in,like,my,i've","back,like,i've,bring,rushin',know,well,somebody,told,boyfriend",0.053,0.777,0.17,0.9776
when you were young,the killers,2000,42,27,233,159,"you,like,a,he,it,your,to,when,were,young","like,young,doesnt,look,thing,jesus,watch,talks,gentleman,imagined",0.114,0.767,0.119,0.4902
naive,the kooks,2000,37,19,309,157,"me,so,i,be,that,it,to,i'm,not,know","i'm,know,may,knows,fond,asking,true,false,still,get",0.113,0.707,0.18,0.9825
seaside,the kooks,2000,13,9,129,96,"to,the,seaside,go,you,i,love,i'm,trying,hand","seaside,go,love,i'm,trying,hand,want,everybody,wants,fell",0.011,0.731,0.258,0.9871
she moves in her own way,the kooks,2000,40,25,299,198,"to,my,but,her,she,ohoh,i,about,show,ooh","ohoh,show,ooh,way,better,paper,dreams,love,moves,came",0.009,0.786,0.205,0.9969
anyone else but you,the moldy peaches,2000,47,24,340,197,"du,see,anyone,you,i,in,but,don't,what,can","du,see,anyone,else,dududu,forgive,time,kiss,side,left",0.049,0.83,0.121,0.9749
ill be there for you,the rembrandts,2000,27,20,278,212,"there,you,for,be,i'll,your,you're,like,the,me","i'll,like,one,'cause,always,day,rain,starts,pour,i've",0.076,0.787,0.138,0.972
breakeven,the script,2000,42,31,397,293,"i'm,to,no,don't,when,falling,i,it,a,pieces","i'm,falling,pieces,cos,break,even,heart,yeah,oh,breaks",0.204,0.592,0.204,0.9418
the man who cant be moved,the script,2000,49,27,424,259,"i'm,the,not,you,moving,to,and,i,on,me","i'm,moving,corner,back,see,maybe,waiting,gonna,'cause,day",0.045,0.928,0.027,-0.6792
new slang,the shins,2000,37,29,251,187,"the,and,to,like,well,of,a,i,i'd,am","like,well,i'd,c,took,danced,eyesores,rest,lives,would've",0.099,0.751,0.15,0.8421
last nite,the strokes,2000,36,24,195,134,"i,oh,understand,feel,so,baby,don't,they,out,night","oh,understand,feel,baby,night,left,last,said,turns,turned",0.037,0.818,0.146,0.9595
someday,the strokes,2000,39,28,198,132,"i,sometimes,to,you,we,my,say,oh,so,in","sometimes,say,oh,someday,i'm,yeah,want,stay,always,maya",0.049,0.667,0.284,0.995
fell in love with a girl,the white stripes,2000,33,19,237,137,"love,and,yeah,the,in,with,i,my,she's,for","love,yeah,fell,can't,brain,girl,think,anything,left,knows",0.064,0.656,0.28,0.9964
seven nation army,the white stripes,2000,30,29,190,189,"and,to,i'm,the,a,it,my,from,back,coming","i'm,back,coming,gonna,going,bleeding,e33333333,right,behind,says",0.065,0.918,0.016,-0.7302
were going to be friends,the white stripes,2000,36,31,248,207,"the,and,we,to,i,that,tell,are,school,can","tell,school,gonna,friends,walk,sound,time,learn,teacher,back",0.013,0.872,0.115,0.9729
dancing in the moonlight,toploader,2000,15,8,158,84,"and,everybodys,dancing,in,the,moonlight,its,a,bright,we","everybodys,dancing,moonlight,bright,sight,supernatural,delight,feeling,warm,fine",0.026,0.671,0.303,0.9925
drops of jupiter,train,2000,45,32,399,291,"na,you,the,hey,me,did,and,that,to,tell","na,hey,tell,back,way,like,milky,looking,miss,dance",0.034,0.864,0.101,0.9831
hey soul sister,train,2000,30,23,288,229,"you,i,the,heyayayayay,a,hey,soul,sister,my,mister","heyayayayay,hey,soul,sister,mister,tonight,single,want,heyay,one",0.049,0.837,0.113,0.9611
sing,travis,2000,23,17,163,118,"sing,you,nothing,the,going,so,for,love,bring,wont","sing,nothing,going,love,bring,wont,mean,thing,unless,baby",0.062,0.825,0.114,0.9224
stuck in a moment you cant get out of,u2,2000,53,43,337,263,"you,and,a,i,get,the,if,in,to,it","get,stuck,moment,can't,got,nothing,together,night,way,pass",0.089,0.836,0.075,0.032
a thousand miles,vanessa carlton,2000,71,35,247,126,"i,you,and,'cause,just,making,way,pass,a,the","'cause,making,way,pass,think,know,could,fall,sky,time",0.078,0.911,0.011,-0.9087
island in the sun,weezer,2000,42,19,197,107,"hip,we'll,feel,and,the,on,no,can't,i,it","hip,we'll,feel,can't,never,bad,anymore,island,sun,playing",0.0,0.788,0.212,0.9898
teenage dirtbag,wheatus,2000,43,35,241,200,"a,she,and,dirtbag,,doesn't,baby,i,know,me","dirtbag,,baby,know,i'm,teenage,yeeah,give,damn,iron",0.167,0.74,0.093,-0.9682
jesus etc,wilco,2000,30,17,216,114,"you,your,around,can,is,turning,orbit,sad,are,all","around,turning,orbit,sad,voices,love,last,cigarettes,get,sun",0.144,0.725,0.131,-0.3164
toes,zac brown band,2000,69,46,382,268,"the,in,,a,my,and,i,life,is,good",",life,good,today,i'm,adios,vaya,con,dios,got",0.072,0.756,0.172,0.9906
make you feel my love,adele,2000,25,21,188,164,"you,the,i,to,make,and,my,your,feel,love","make,feel,love,go,could,i'd,nothing,blowing,mind,yet",0.089,0.7,0.211,0.9846
hurt,johnny cash,2000,18,14,161,126,"i,the,you,my,of,away,have,will,hurt,a","away,hurt,could,still,become,sweetest,friend,everyone,know,goes",0.183,0.766,0.051,-0.9636
back to black,amy winehouse,2000,26,18,216,148,"to,back,i,go,and,you,black,a,with,we","back,go,black,said,goodbye,words,died,hundred,times,love",0.137,0.783,0.079,-0.9042
valerie,amy winehouse,2000,24,14,287,162,"you,and,on,i,the,a,come,valerieeee,over,of","come,valerieeee,i've,well,hair,go,'cos,since,home,body's",0.119,0.787,0.094,-0.6705
